Clé;Français (Référence);Espagnol (ES);Allemand (DE);Italien (IT);Catégorie;Instructions
DJ_Recording;Enregistrement;;;;"Recording";"Traduire 'Enregistrement'"
DJ_Recording_Duration;Durée: {0};;;;"Recording";"Traduire 'Durée', conserver {0}"
DJ_Recording_Error;Erreur d'enregistrement: {0};;;;"Recording";"Traduire, conserver {0}"
DJ_Recording_Started;Enregistrement démarré;;;;"Recording";"Traduire"
DJ_Recording_Stopped;Enregistrement arrêté;;;;"Recording";"Traduire"
DJ_Sampler;Sampler;;;;"Sampler";"Sampler peut rester"
DJ_Sampler_ClearAll;Effacer tous les samples;;;;"Sampler";"Traduire 'Effacer tous les samples'"
DJ_Sampler_LoadSample;Charger sample;;;;"Sampler";"Traduire 'Charger sample'"
DJ_Sampler_Pad;Pad {0};;;;"Sampler";"Pad reste Pad, conserver {0}"
DJ_Sampler_SampleLoaded;Sample chargé: {0};;;;"Sampler";"Traduire, conserver {0}"
DJ_Sampler_StopAll;Arrêter tous les samples;;;;"Sampler";"Traduire"
DJ_Stop;Stop;;;;"General";"Stop peut rester"
DJ_Success_Title;Éxito;DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"General";"VÉRIFIER LA TRADUCTION EXISTANTE"
DJ_Sync;Sync;;;;"Sync";"Sync reste Sync"
DJ_Sync_TitleAtoB;Sync A → B;;;;"Sync";"Conserver →"
DJ_Sync_TitleBtoA;Sync B → A;;;;"Sync";"Conserver →"
DJ_SyncToA;🔄 SYNC → A;;;;"Sync";"Conserver emojis et →"
DJ_SyncToB;🔄 SYNC → B;;;;"Sync";"Conserver emojis et →"
DJ_Volume;Volume: {0}%;;;;"Mixer";"Traduire 'Volume', conserver {0}%"
DJ_VolumeLabel;Vol {0}: {1}%;;;;"Mixer";"Traduire 'Vol', conserver {0} et {1}%"
DJ_VUMeter;VU-mètre;;;;"Mixer";"Traduire 'VU-mètre' ou laisser VU-meter"
DJ_Waveform;Forme d'onde;;;;"General";"Traduire 'Forme d'onde'"
DJ_Confirm_Title;Confirmación;DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"General";"VÉRIFIER LA TRADUCTION EXISTANTE"
